preyID,Eaten_day,outcome,Rx,sal
1,1,1,Simple (0-6 stems),1
2,1,1,Simple (0-6 stems),1
3,1,1,Simple (0-6 stems),1
4,1,1,Simple (0-6 stems),1
5,4,1,Simple (0-6 stems),1
6,6,1,Simple (0-6 stems),1
7,9,0,Simple (0-6 stems),1
8,9,0,Simple (0-6 stems),1
9,9,0,Simple (0-6 stems),1
10,9,0,Simple (0-6 stems),1
1,1,1,Simple (0-6 stems),21
2,1,1,Simple (0-6 stems),21
3,1,1,Simple (0-6 stems),21
4,3,1,Simple (0-6 stems),21
5,8,1,Simple (0-6 stems),21
6,9,0,Simple (0-6 stems),21
7,9,0,Simple (0-6 stems),21
8,9,0,Simple (0-6 stems),21
9,9,0,Simple (0-6 stems),21
10,9,0,Simple (0-6 stems),21
1,1,1,Simple (0-6 stems),22
2,1,1,Simple (0-6 stems),22
3,2,1,Simple (0-6 stems),22
4,2,1,Simple (0-6 stems),22
5,2,1,Simple (0-6 stems),22
6,2,1,Simple (0-6 stems),22
7,4,1,Simple (0-6 stems),22
8,4,1,Simple (0-6 stems),22
9,9,0,Simple (0-6 stems),22
10,9,0,Simple (0-6 stems),22
1,1,1,Simple (0-6 stems),29
2,1,1,Simple (0-6 stems),29
3,3,1,Simple (0-6 stems),29
4,9,0,Simple (0-6 stems),29
5,9,0,Simple (0-6 stems),29
6,9,0,Simple (0-6 stems),29
7,9,0,Simple (0-6 stems),29
8,9,0,Simple (0-6 stems),29
9,9,0,Simple (0-6 stems),29
10,9,0,Simple (0-6 stems),29
1,1,1,Simple (0-6 stems),30
2,1,1,Simple (0-6 stems),30
3,1,1,Simple (0-6 stems),30
4,1,1,Simple (0-6 stems),30
5,1,1,Simple (0-6 stems),30
6,1,1,Simple (0-6 stems),30
7,4,1,Simple (0-6 stems),30
8,4,1,Simple (0-6 stems),30
9,8,1,Simple (0-6 stems),30
10,9,0,Simple (0-6 stems),30
1,1,1,Simple (0-6 stems),37
2,1,1,Simple (0-6 stems),37
3,1,1,Simple (0-6 stems),37
4,1,1,Simple (0-6 stems),37
5,1,1,Simple (0-6 stems),37
6,1,1,Simple (0-6 stems),37
7,9,0,Simple (0-6 stems),37
8,9,0,Simple (0-6 stems),37
9,9,0,Simple (0-6 stems),37
10,9,0,Simple (0-6 stems),37
1,1,1,Simple (0-6 stems),38
2,1,1,Simple (0-6 stems),38
3,1,1,Simple (0-6 stems),38
4,1,1,Simple (0-6 stems),38
5,8,1,Simple (0-6 stems),38
6,9,0,Simple (0-6 stems),38
7,9,0,Simple (0-6 stems),38
8,9,0,Simple (0-6 stems),38
9,9,0,Simple (0-6 stems),38
10,9,0,Simple (0-6 stems),38
1,1,1,Simple (0-6 stems),42
2,1,1,Simple (0-6 stems),42
3,1,1,Simple (0-6 stems),42
4,1,1,Simple (0-6 stems),42
5,1,1,Simple (0-6 stems),42
6,3,1,Simple (0-6 stems),42
7,3,1,Simple (0-6 stems),42
8,5,1,Simple (0-6 stems),42
9,6,1,Simple (0-6 stems),42
10,9,0,Simple (0-6 stems),42
1,1,1,Complex (10-18 stems),5
2,2,1,Complex (10-18 stems),5
3,8,1,Complex (10-18 stems),5
4,8,1,Complex (10-18 stems),5
5,9,0,Complex (10-18 stems),5
6,9,0,Complex (10-18 stems),5
7,9,0,Complex (10-18 stems),5
8,9,0,Complex (10-18 stems),5
9,9,0,Complex (10-18 stems),5
10,9,0,Complex (10-18 stems),5
1,1,1,Complex (10-18 stems),9
2,1,1,Complex (10-18 stems),9
3,1,1,Complex (10-18 stems),9
4,4,1,Complex (10-18 stems),9
5,5,1,Complex (10-18 stems),9
6,9,0,Complex (10-18 stems),9
7,9,0,Complex (10-18 stems),9
8,9,0,Complex (10-18 stems),9
9,9,0,Complex (10-18 stems),9
10,9,0,Complex (10-18 stems),9
1,1,1,Complex (10-18 stems),12
2,2,1,Complex (10-18 stems),12
3,2,1,Complex (10-18 stems),12
4,2,1,Complex (10-18 stems),12
5,2,1,Complex (10-18 stems),12
6,3,1,Complex (10-18 stems),12
7,9,0,Complex (10-18 stems),12
8,9,0,Complex (10-18 stems),12
9,9,0,Complex (10-18 stems),12
10,9,0,Complex (10-18 stems),12
1,1,1,Complex (10-18 stems),15
2,2,1,Complex (10-18 stems),15
3,2,1,Complex (10-18 stems),15
4,2,1,Complex (10-18 stems),15
5,2,1,Complex (10-18 stems),15
6,2,1,Complex (10-18 stems),15
7,2,1,Complex (10-18 stems),15
8,9,0,Complex (10-18 stems),15
9,9,0,Complex (10-18 stems),15
10,9,0,Complex (10-18 stems),15
1,1,1,Complex (10-18 stems),39
2,1,1,Complex (10-18 stems),39
3,3,1,Complex (10-18 stems),39
4,8,1,Complex (10-18 stems),39
5,8,1,Complex (10-18 stems),39
6,9,0,Complex (10-18 stems),39
7,9,0,Complex (10-18 stems),39
8,9,0,Complex (10-18 stems),39
9,9,0,Complex (10-18 stems),39
10,9,0,Complex (10-18 stems),39
1,2,1,Complex (10-18 stems),43
