preyID,Eaten_day,outcome,Rx,sal
1,1,1,Simple (~0-120stems/m2),1
2,1,1,Simple (~0-120stems/m2),1
3,1,1,Simple (~0-120stems/m2),1
4,1,1,Simple (~0-120stems/m2),1
5,4,1,Simple (~0-120stems/m2),1
6,6,1,Simple (~0-120stems/m2),1
7,9,0,Simple (~0-120stems/m2),1
8,9,0,Simple (~0-120stems/m2),1
9,9,0,Simple (~0-120stems/m2),1
10,9,0,Simple (~0-120stems/m2),1
1,1,1,Simple (~0-120stems/m2),21
2,1,1,Simple (~0-120stems/m2),21
3,1,1,Simple (~0-120stems/m2),21
4,3,1,Simple (~0-120stems/m2),21
5,8,1,Simple (~0-120stems/m2),21
6,9,0,Simple (~0-120stems/m2),21
7,9,0,Simple (~0-120stems/m2),21
8,9,0,Simple (~0-120stems/m2),21
9,9,0,Simple (~0-120stems/m2),21
10,9,0,Simple (~0-120stems/m2),21
1,1,1,Simple (~0-120stems/m2),22
2,1,1,Simple (~0-120stems/m2),22
3,2,1,Simple (~0-120stems/m2),22
4,2,1,Simple (~0-120stems/m2),22
5,2,1,Simple (~0-120stems/m2),22
6,2,1,Simple (~0-120stems/m2),22
7,4,1,Simple (~0-120stems/m2),22
8,4,1,Simple (~0-120stems/m2),22
9,9,0,Simple (~0-120stems/m2),22
10,9,0,Simple (~0-120stems/m2),22
1,1,1,Simple (~0-120stems/m2),29
2,1,1,Simple (~0-120stems/m2),29
3,3,1,Simple (~0-120stems/m2),29
4,9,0,Simple (~0-120stems/m2),29
5,9,0,Simple (~0-120stems/m2),29
6,9,0,Simple (~0-120stems/m2),29
7,9,0,Simple (~0-120stems/m2),29
8,9,0,Simple (~0-120stems/m2),29
9,9,0,Simple (~0-120stems/m2),29
10,9,0,Simple (~0-120stems/m2),29
1,1,1,Simple (~0-120stems/m2),30
2,1,1,Simple (~0-120stems/m2),30
3,1,1,Simple (~0-120stems/m2),30
4,1,1,Simple (~0-120stems/m2),30
5,1,1,Simple (~0-120stems/m2),30
6,1,1,Simple (~0-120stems/m2),30
7,4,1,Simple (~0-120stems/m2),30
8,4,1,Simple (~0-120stems/m2),30
9,8,1,Simple (~0-120stems/m2),30
10,9,0,Simple (~0-120stems/m2),30
1,1,1,Simple (~0-120stems/m2),37
2,1,1,Simple (~0-120stems/m2),37
3,1,1,Simple (~0-120stems/m2),37
4,1,1,Simple (~0-120stems/m2),37
5,1,1,Simple (~0-120stems/m2),37
6,1,1,Simple (~0-120stems/m2),37
7,9,0,Simple (~0-120stems/m2),37
8,9,0,Simple (~0-120stems/m2),37
9,9,0,Simple (~0-120stems/m2),37
10,9,0,Simple (~0-120stems/m2),37
1,1,1,Simple (~0-120stems/m2),38
2,1,1,Simple (~0-120stems/m2),38
3,1,1,Simple (~0-120stems/m2),38
4,1,1,Simple (~0-120stems/m2),38
5,8,1,Simple (~0-120stems/m2),38
6,9,0,Simple (~0-120stems/m2),38
7,9,0,Simple (~0-120stems/m2),38
8,9,0,Simple (~0-120stems/m2),38
9,9,0,Simple (~0-120stems/m2),38
10,9,0,Simple (~0-120stems/m2),38
1,1,1,Simple (~0-120stems/m2),42
2,1,1,Simple (~0-120stems/m2),42
3,1,1,Simple (~0-120stems/m2),42
4,1,1,Simple (~0-120stems/m2),42
5,1,1,Simple (~0-120stems/m2),42
6,3,1,Simple (~0-120stems/m2),42
7,3,1,Simple (~0-120stems/m2),42
8,5,1,Simple (~0-120stems/m2),42
9,6,1,Simple (~0-120stems/m2),42
10,9,0,Simple (~0-120stems/m2),42
1,1,1,Complex (~200-360 stems/m2),5
2,2,1,Complex (~200-360 stems/m2),5
3,8,1,Complex (~200-360 stems/m2),5
4,8,1,Complex (~200-360 stems/m2),5
5,9,0,Complex (~200-360 stems/m2),5
6,9,0,Complex (~200-360 stems/m2),5
7,9,0,Complex (~200-360 stems/m2),5
8,9,0,Complex (~200-360 stems/m2),5
9,9,0,Complex (~200-360 stems/m2),5
10,9,0,Complex (~200-360 stems/m2),5
1,1,1,Complex (~200-360 stems/m2),9
2,1,1,Complex (~200-360 stems/m2),9
3,1,1,Complex (~200-360 stems/m2),9
4,4,1,Complex (~200-360 stems/m2),9
5,5,1,Complex (~200-360 stems/m2),9
6,9,0,Complex (~200-360 stems/m2),9
7,9,0,Complex (~200-360 stems/m2),9
8,9,0,Complex (~200-360 stems/m2),9
9,9,0,Complex (~200-360 stems/m2),9
10,9,0,Complex (~200-360 stems/m2),9
1,1,1,Complex (~200-360 stems/m2),12
2,2,1,Complex (~200-360 stems/m2),12
3,2,1,Complex (~200-360 stems/m2),12
4,2,1,Complex (~200-360 stems/m2),12
5,2,1,Complex (~200-360 stems/m2),12
6,3,1,Complex (~200-360 stems/m2),12
7,9,0,Complex (~200-360 stems/m2),12
8,9,0,Complex (~200-360 stems/m2),12
9,9,0,Complex (~200-360 stems/m2),12
10,9,0,Complex (~200-360 stems/m2),12
1,1,1,Complex (~200-360 stems/m2),15
2,2,1,Complex (~200-360 stems/m2),15
3,2,1,Complex (~200-360 stems/m2),15
4,2,1,Complex (~200-360 stems/m2),15
5,2,1,Complex (~200-360 stems/m2),15
6,2,1,Complex (~200-360 stems/m2),15
7,2,1,Complex (~200-360 stems/m2),15
8,9,0,Complex (~200-360 stems/m2),15
9,9,0,Complex (~200-360 stems/m2),15
10,9,0,Complex (~200-360 stems/m2),15
1,1,1,Complex (~200-360 stems/m2),39
2,1,1,Complex (~200-360 stems/m2),39
3,3,1,Complex (~200-360 stems/m2),39
4,8,1,Complex (~200-360 stems/m2),39
5,8,1,Complex (~200-360 stems/m2),39
6,9,0,Complex (~200-360 stems/m2),39
7,9,0,Complex (~200-360 stems/m2),39
8,9,0,Complex (~200-360 stems/m2),39
9,9,0,Complex (~200-360 stems/m2),39
