preyID,Eaten_day,outcome,Rx,Sp,sal
1,1,1,1x,I. scapularis (Adult),5
2,1,1,1x,I. scapularis (Adult),5
3,1,1,1x,I. scapularis (Adult),5
4,1,1,1x,I. scapularis (Adult),5
5,1,1,1x,I. scapularis (Adult),5
6,1,1,1x,I. scapularis (Adult),5
7,1,1,1x,I. scapularis (Adult),5
8,1,1,1x,I. scapularis (Adult),5
9,2,1,1x,I. scapularis (Adult),5
10,2,1,1x,I. scapularis (Adult),5
1,1,1,1x,I. scapularis (Adult),38
2,1,1,1x,I. scapularis (Adult),38
3,1,1,1x,I. scapularis (Adult),38
4,1,1,1x,I. scapularis (Adult),38
5,1,1,1x,I. scapularis (Adult),38
6,1,1,1x,I. scapularis (Adult),38
7,2,1,1x,I. scapularis (Adult),38
8,3,1,1x,I. scapularis (Adult),38
9,5,0,1x,I. scapularis (Adult),38
10,5,0,1x,I. scapularis (Adult),38
1,1,1,1x,I. scapularis (Adult),23
2,1,1,1x,I. scapularis (Adult),23
3,1,1,1x,I. scapularis (Adult),23
4,1,1,1x,I. scapularis (Adult),23
5,1,1,1x,I. scapularis (Adult),23
6,1,1,1x,I. scapularis (Adult),23
7,1,1,1x,I. scapularis (Adult),23
8,1,1,1x,I. scapularis (Adult),23
9,5,1,1x,I. scapularis (Adult),23
10,6,1,1x,I. scapularis (Adult),23
1,1,1,1x,I. scapularis (Adult),47
2,1,1,1x,I. scapularis (Adult),47
3,1,1,1x,I. scapularis (Adult),47
4,1,1,1x,I. scapularis (Adult),47
5,1,1,1x,I. scapularis (Adult),47
6,1,1,1x,I. scapularis (Adult),47
7,1,1,1x,I. scapularis (Adult),47
8,2,1,1x,I. scapularis (Adult),47
9,2,1,1x,I. scapularis (Adult),47
10,4,1,1x,I. scapularis (Adult),47
1,1,1,2x,I. scapularis (Adult),18
2,1,1,2x,I. scapularis (Adult),18
3,1,1,2x,I. scapularis (Adult),18
4,2,1,2x,I. scapularis (Adult),18
5,3,1,2x,I. scapularis (Adult),18
6,4,1,2x,I. scapularis (Adult),18
7,5,1,2x,I. scapularis (Adult),18
8,5,1,2x,I. scapularis (Adult),18
9,5,0,2x,I. scapularis (Adult),18
10,5,0,2x,I. scapularis (Adult),18
1,1,1,2x,I. scapularis (Adult),19
2,1,1,2x,I. scapularis (Adult),19
3,1,1,2x,I. scapularis (Adult),19
4,1,1,2x,I. scapularis (Adult),19
5,1,1,2x,I. scapularis (Adult),19
6,1,1,2x,I. scapularis (Adult),19
7,5,1,2x,I. scapularis (Adult),19
8,5,1,2x,I. scapularis (Adult),19
9,5,1,2x,I. scapularis (Adult),19
10,5,1,2x,I. scapularis (Adult),19
1,1,1,2x,I. scapularis (Adult),28
2,1,1,2x,I. scapularis (Adult),28
3,4,1,2x,I. scapularis (Adult),28
4,5,0,2x,I. scapularis (Adult),28
5,5,0,2x,I. scapularis (Adult),28
6,5,0,2x,I. scapularis (Adult),28
7,5,0,2x,I. scapularis (Adult),28
8,5,0,2x,I. scapularis (Adult),28
9,5,0,2x,I. scapularis (Adult),28
10,5,0,2x,I. scapularis (Adult),28
1,1,1,3x,I. scapularis (Adult),8
2,1,1,3x,I. scapularis (Adult),8
3,1,1,3x,I. scapularis (Adult),8
4,2,1,3x,I. scapularis (Adult),8
5,2,1,3x,I. scapularis (Adult),8
6,3,1,3x,I. scapularis (Adult),8
7,3,1,3x,I. scapularis (Adult),8
8,3,1,3x,I. scapularis (Adult),8
9,3,1,3x,I. scapularis (Adult),8
10,3,1,3x,I. scapularis (Adult),8
1,1,1,3x,I. scapularis (Adult),31
2,1,1,3x,I. scapularis (Adult),31
3,1,1,3x,I. scapularis (Adult),31
4,1,1,3x,I. scapularis (Adult),31
5,2,1,3x,I. scapularis (Adult),31
6,2,1,3x,I. scapularis (Adult),31
7,2,1,3x,I. scapularis (Adult),31
8,3,1,3x,I. scapularis (Adult),31
9,3,1,3x,I. scapularis (Adult),31
10,5,0,3x,I. scapularis (Adult),31
1,1,1,0x,D. variabilis (Nymph),1
2,1,1,0x,D. variabilis (Nymph),1
3,1,1,0x,D. variabilis (Nymph),1
4,1,1,0x,D. variabilis (Nymph),1
5,4,1,0x,D. variabilis (Nymph),1
6,6,1,0x,D. variabilis (Nymph),1
7,9,0,0x,D. variabilis (Nymph),1
8,9,0,0x,D. variabilis (Nymph),1
9,9,0,0x,D. variabilis (Nymph),1
10,9,0,0x,D. variabilis (Nymph),1
1,1,1,0x,D. variabilis (Nymph),21
2,1,1,0x,D. variabilis (Nymph),21
3,1,1,0x,D. variabilis (Nymph),21
4,3,1,0x,D. variabilis (Nymph),21
5,8,1,0x,D. variabilis (Nymph),21
6,9,0,0x,D. variabilis (Nymph),21
