Prey group,Treatment,MedianSurvTime,SD
D. melanogaster,0,1,0.18700392
D. melanogaster,120.8,1,0.18700392
D. melanogaster,241.7,1,0.18700392
D. melanogaster,362.5,1,0.18700392
I. scapularis (Adult),120.8,1,0.28212404
I. scapularis (Adult),241.7,3,0.28212404
I. scapularis (Adult),362.5,1,0.28212404
D. variabilis (Nymph),0,3,0.080305649
D. variabilis (Nymph),201.4,8,0.080305649
D. variabilis (Nymph),302.1,6,0.080305649
D. variabilis (Adult),120.8,7,0.8262855
D. variabilis (Adult),241.7,5,0.8262855
D. variabilis (Adult),362.5,13,0.8262855
