preyID,Eaten_day,outcome,Rx,sal
1,1,1,0,1
2,1,1,0,1
3,1,1,0,1
4,1,1,0,1
5,1,1,0,1
6,1,1,0,1
7,1,1,0,1
8,1,1,0,1
9,1,1,0,1
10,1,1,0,1
1,1,1,0,2
2,1,1,0,2
3,1,1,0,2
4,1,1,0,2
5,1,1,0,2
6,1,1,0,2
7,1,1,0,2
8,2,1,0,2
9,2,1,0,2
10,4,1,0,2
1,1,1,0,3
2,1,1,0,3
3,1,1,0,3
4,1,1,0,3
5,1,1,0,3
6,1,1,0,3
7,1,1,0,3
8,1,1,0,3
9,1,1,0,3
10,1,1,0,3
1,1,1,6,4
2,1,1,6,4
3,1,1,6,4
4,1,1,6,4
5,1,1,6,4
6,1,1,6,4
7,1,1,6,4
8,1,1,6,4
9,1,1,6,4
10,1,1,6,4
1,1,1,0,5
2,1,1,0,5
3,1,1,0,5
4,1,1,0,5
5,1,1,0,5
6,1,1,0,5
7,1,1,0,5
8,1,1,0,5
9,1,1,0,5
10,1,1,0,5
1,1,1,6,6.1
2,1,1,6,6.1
3,1,1,6,6.1
4,1,1,6,6.1
5,1,1,6,6.1
6,1,1,6,6.1
7,1,1,6,6.1
8,1,1,6,6.1
9,1,1,6,6.1
10,1,1,6,6.1
1,1,1,18,6.2
2,1,1,18,6.2
3,1,1,18,6.2
4,1,1,18,6.2
5,1,1,18,6.2
6,1,1,18,6.2
7,2,1,18,6.2
8,2,1,18,6.2
9,2,1,18,6.2
10,2,1,18,6.2
1,1,1,6,7
2,1,1,6,7
3,1,1,6,7
4,1,1,6,7
5,1,1,6,7
6,1,1,6,7
7,1,1,6,7
8,1,1,6,7
9,1,1,6,7
10,1,1,6,7
1,1,1,0,8
2,1,1,0,8
3,1,1,0,8
4,1,1,0,8
5,1,1,0,8
6,1,1,0,8
7,1,1,0,8
8,1,1,0,8
9,1,1,0,8
10,4,1,0,8
1,1,1,6,9.1
2,1,1,6,9.1
3,1,1,6,9.1
4,1,1,6,9.1
5,1,1,6,9.1
6,1,1,6,9.1
7,1,1,6,9.1
8,1,1,6,9.1
9,1,1,6,9.1
10,3,1,6,9.1
1,1,1,12,9.2
2,1,1,12,9.2
3,1,1,12,9.2
4,1,1,12,9.2
5,1,1,12,9.2
6,1,1,12,9.2
7,1,1,12,9.2
8,1,1,12,9.2
9,1,1,12,9.2
10,1,1,12,9.2
