sal,Rx,prey,Eaten_day,outcome
4,2x Complex,1,2,1
4,2x Complex,2,2,1
4,2x Complex,3,2,1
4,2x Complex,4,2,1
4,2x Complex,5,2,1
4,2x Complex,6,2,1
4,2x Complex,7,2,1
4,2x Complex,8,2,1
4,2x Complex,9,2,1
4,2x Complex,10,2,1
6,2x Complex,1,1,1
6,2x Complex,2,2,1
6,2x Complex,3,2,1
6,2x Complex,4,2,1
6,2x Complex,5,2,1
6,2x Complex,6,2,1
6,2x Complex,7,2,1
6,2x Complex,8,2,1
6,2x Complex,9,2,1
6,2x Complex,10,2,1
7,2x Complex,1,2,1
7,2x Complex,2,2,1
7,2x Complex,3,2,1
7,2x Complex,4,2,1
7,2x Complex,5,2,1
7,2x Complex,6,2,1
7,2x Complex,7,2,1
7,2x Complex,8,2,1
7,2x Complex,9,2,1
7,2x Complex,10,2,1
9,2x Complex,1,2,1
9,2x Complex,2,2,1
9,2x Complex,3,2,1
9,2x Complex,4,2,1
9,2x Complex,5,2,1
9,2x Complex,6,2,1
9,2x Complex,7,2,1
9,2x Complex,8,2,1
9,2x Complex,9,2,1
9,2x Complex,10,4,1
10,2x Complex,1,1,1
10,2x Complex,2,2,1
10,2x Complex,3,2,1
10,2x Complex,4,2,1
10,2x Complex,5,2,1
10,2x Complex,6,2,1
10,2x Complex,7,2,1
10,2x Complex,8,2,1
10,2x Complex,9,4,1
10,2x Complex,10,8,1
18,2x Complex,1,2,1
18,2x Complex,2,2,1
18,2x Complex,3,2,1
18,2x Complex,4,2,1
18,2x Complex,5,2,1
18,2x Complex,6,2,1
18,2x Complex,7,2,1
18,2x Complex,8,2,1
18,2x Complex,9,2,1
18,2x Complex,10,6,1
19,2x Complex,1,2,1
19,2x Complex,2,2,1
19,2x Complex,3,2,1
19,2x Complex,4,2,1
19,2x Complex,5,2,1
19,2x Complex,6,2,1
19,2x Complex,7,2,1
19,2x Complex,8,2,1
19,2x Complex,9,2,1
19,2x Complex,10,2,1
21,2x Complex,1,3,1
21,2x Complex,2,3,1
21,2x Complex,3,3,1
21,2x Complex,4,3,1
21,2x Complex,5,3,1
21,2x Complex,6,4,1
21,2x Complex,7,4,1
21,2x Complex,8,5,1
21,2x Complex,9,5,1
21,2x Complex,10,5,1
22,2x Complex,1,2,1
22,2x Complex,2,2,1
22,2x Complex,3,2,1
22,2x Complex,4,2,1
22,2x Complex,5,2,1
22,2x Complex,6,2,1
22,2x Complex,7,2,1
22,2x Complex,8,2,1
22,2x Complex,9,2,1
22,2x Complex,10,2,1
24,2x Complex,1,1,1
24,2x Complex,2,2,1
24,2x Complex,3,2,1
24,2x Complex,4,2,1
24,2x Complex,5,2,1
24,2x Complex,6,2,1
24,2x Complex,7,2,1
24,2x Complex,8,2,1
24,2x Complex,9,3,1
24,2x Complex,10,4,1
25,2x Complex,1,1,1
25,2x Complex,2,2,1
25,2x Complex,3,2,1
25,2x Complex,4,2,1
25,2x Complex,5,2,1
25,2x Complex,6,2,1
25,2x Complex,7,2,1
25,2x Complex,8,2,1
25,2x Complex,9,2,1
25,2x Complex,10,2,1
26,2x Complex,1,2,1
26,2x Complex,2,2,1
26,2x Complex,3,2,1
26,2x Complex,4,2,1
26,2x Complex,5,2,1
26,2x Complex,6,2,1
26,2x Complex,7,2,1
26,2x Complex,8,2,1
26,2x Complex,9,2,1
26,2x Complex,10,4,1
28,2x Complex,1,2,1
28,2x Complex,2,2,1
28,2x Complex,3,2,1
28,2x Complex,4,2,1
28,2x Complex,5,2,1
28,2x Complex,6,2,1
28,2x Complex,7,2,1
28,2x Complex,8,2,1
28,2x Complex,9,2,1
28,2x Complex,10,3,1
30,2x Complex,1,2,1
30,2x Complex,2,2,1
30,2x Complex,3,2,1
30,2x Complex,4,2,1
30,2x Complex,5,2,1
30,2x Complex,6,2,1
30,2x Complex,7,2,1
30,2x Complex,8,2,1
30,2x Complex,9,2,1
30,2x Complex,10,2,1
31,2x Complex,1,2,1
31,2x Complex,2,2,1
