preyID,Eaten_day,outcome,Rx,sal
1,1,1,6,5
2,1,1,6,5
3,1,1,6,5
4,1,1,6,5
5,1,1,6,5
6,1,1,6,5
7,1,1,6,5
8,1,1,6,5
9,2,1,6,5
10,2,1,6,5
1,1,1,6,38
2,1,1,6,38
3,1,1,6,38
4,1,1,6,38
5,1,1,6,38
6,1,1,6,38
7,2,1,6,38
8,3,1,6,38
9,5,0,6,38
10,5,0,6,38
1,1,1,6,23
2,1,1,6,23
3,1,1,6,23
4,1,1,6,23
5,1,1,6,23
6,1,1,6,23
7,1,1,6,23
8,1,1,6,23
9,5,1,6,23
10,6,1,6,23
1,1,1,6,47
2,1,1,6,47
3,1,1,6,47
4,1,1,6,47
5,1,1,6,47
6,1,1,6,47
7,1,1,6,47
8,2,1,6,47
9,2,1,6,47
10,4,1,6,47
1,1,1,12,18
2,1,1,12,18
3,1,1,12,18
4,2,1,12,18
5,3,1,12,18
6,4,1,12,18
7,5,1,12,18
8,5,1,12,18
9,5,0,12,18
10,5,0,12,18
1,1,1,12,19
2,1,1,12,19
3,1,1,12,19
4,1,1,12,19
5,1,1,12,19
6,1,1,12,19
7,5,1,12,19
8,5,1,12,19
9,5,1,12,19
10,5,1,12,19
1,1,1,12,28
2,1,1,12,28
3,4,1,12,28
4,5,0,12,28
5,5,0,12,28
6,5,0,12,28
7,5,0,12,28
8,5,0,12,28
9,5,0,12,28
10,5,0,12,28
1,1,1,18,8
2,1,1,18,8
3,1,1,18,8
4,2,1,18,8
5,2,1,18,8
6,3,1,18,8
7,3,1,18,8
8,3,1,18,8
9,3,1,18,8
10,3,1,18,8
1,1,1,18,31
2,1,1,18,31
3,1,1,18,31
4,1,1,18,31
5,2,1,18,31
6,2,1,18,31
7,2,1,18,31
8,3,1,18,31
9,3,1,18,31
10,5,0,18,31
