preyID,Eaten_day,outcome,Rx,sal
1,2,1,6,4
2,7,1,6,4
3,7,1,6,4
4,14,0,6,4
5,14,0,6,4
6,14,0,6,4
7,14,0,6,4
8,14,0,6,4
9,14,0,6,4
10,14,0,6,4
1,1,1,6,35
2,1,1,6,35
3,1,1,6,35
4,1,1,6,35
5,2,1,6,35
6,2,1,6,35
7,3,1,6,35
8,5,1,6,35
9,5,1,6,35
10,6,1,6,35
1,1,1,12,2
2,1,1,12,2
3,1,1,12,2
4,1,1,12,2
5,1,1,12,2
6,2,1,12,2
7,5,1,12,2
8,8,1,12,2
9,10,1,12,2
10,13,1,12,2
1,1,1,12,11
2,1,1,12,11
3,6,1,12,11
4,7,1,12,11
5,10,1,12,11
6,13,1,12,11
7,13,1,12,11
8,14,0,12,11
9,14,0,12,11
10,14,0,12,11
1,1,1,12,24
2,1,1,12,24
3,1,1,12,24
4,1,1,12,24
5,2,1,12,24
6,2,1,12,24
7,2,1,12,24
8,4,1,12,24
9,9,1,12,24
10,11,1,12,24
1,1,1,18,26
2,1,1,18,26
3,8,1,18,26
4,14,0,18,26
5,14,0,18,26
6,14,0,18,26
7,14,0,18,26
8,14,0,18,26
9,14,0,18,26
10,14,0,18,26
1,1,1,18,33
2,1,1,18,33
3,4,1,18,33
4,5,1,18,33
5,13,0,18,33
6,13,0,18,33
7,13,0,18,33
8,13,0,18,33
9,14,0,18,33
10,14,0,18,33
1,1,1,18,34
2,1,1,18,34
3,1,1,18,34
4,3,1,18,34
5,5,1,18,34
6,9,1,18,34
7,9,1,18,34
8,10,1,18,34
9,12,1,18,34
10,12,1,18,34
