preyID,Eaten_day,outcome,Rx,sal
1,2,1,1x,4
2,7,1,1x,4
3,7,1,1x,4
4,14,0,1x,4
5,14,0,1x,4
6,14,0,1x,4
7,14,0,1x,4
8,14,0,1x,4
9,14,0,1x,4
10,14,0,1x,4
1,1,1,1x,35
2,1,1,1x,35
3,1,1,1x,35
4,1,1,1x,35
5,2,1,1x,35
6,2,1,1x,35
7,3,1,1x,35
8,5,1,1x,35
9,5,1,1x,35
10,6,1,1x,35
1,1,1,2x,2
2,1,1,2x,2
3,1,1,2x,2
4,1,1,2x,2
5,1,1,2x,2
6,2,1,2x,2
7,5,1,2x,2
8,8,1,2x,2
9,10,1,2x,2
10,13,1,2x,2
1,1,1,2x,11
2,1,1,2x,11
3,6,1,2x,11
4,7,1,2x,11
5,10,1,2x,11
6,13,1,2x,11
7,13,1,2x,11
8,14,0,2x,11
9,14,0,2x,11
10,14,0,2x,11
1,1,1,2x,24
2,1,1,2x,24
3,1,1,2x,24
4,1,1,2x,24
5,2,1,2x,24
6,2,1,2x,24
7,2,1,2x,24
8,4,1,2x,24
9,9,1,2x,24
10,11,1,2x,24
1,1,1,3x,26
2,1,1,3x,26
3,8,1,3x,26
4,14,0,3x,26
5,14,0,3x,26
6,14,0,3x,26
7,14,0,3x,26
8,14,0,3x,26
9,14,0,3x,26
10,14,0,3x,26
1,1,1,3x,33
2,1,1,3x,33
3,4,1,3x,33
4,5,1,3x,33
5,13,0,3x,33
6,13,0,3x,33
7,13,0,3x,33
8,13,0,3x,33
9,14,0,3x,33
10,14,0,3x,33
1,1,1,3x,34
2,1,1,3x,34
3,1,1,3x,34
4,3,1,3x,34
5,5,1,3x,34
6,9,1,3x,34
7,9,1,3x,34
8,10,1,3x,34
9,12,1,3x,34
10,12,1,3x,34
