preyID,Eaten_day,outcome,Rx,sal
1,1,1,0,1
2,1,1,0,1
3,1,1,0,1
4,1,1,0,1
5,1,1,0,1
6,1,1,0,1
7,1,1,0,1
8,1,1,0,1
9,1,1,0,1
10,1,1,0,1
1,1,1,0,2
2,1,1,0,2
3,1,1,0,2
4,1,1,0,2
5,1,1,0,2
6,1,1,0,2
7,1,1,0,2
8,2,1,0,2
9,2,1,0,2
10,4,1,0,2
1,1,1,0,3
2,1,1,0,3
3,1,1,0,3
4,1,1,0,3
5,1,1,0,3
6,1,1,0,3
7,1,1,0,3
8,1,1,0,3
9,1,1,0,3
10,1,1,0,3
1,1,1,0,5
2,1,1,0,5
3,1,1,0,5
4,1,1,0,5
5,1,1,0,5
6,1,1,0,5
7,1,1,0,5
8,1,1,0,5
9,1,1,0,5
10,1,1,0,5
1,1,1,0,8
2,1,1,0,8
3,1,1,0,8
4,1,1,0,8
5,1,1,0,8
6,1,1,0,8
7,1,1,0,8
8,1,1,0,8
9,1,1,0,8
10,4,1,0,8
1,1,1,0,11
2,1,1,0,11
3,1,1,0,11
4,1,1,0,11
5,1,1,0,11
6,1,1,0,11
7,1,1,0,11
8,1,1,0,11
9,1,1,0,11
10,1,1,0,11
1,1,1,0,12
2,1,1,0,12
3,1,1,0,12
4,1,1,0,12
5,1,1,0,12
6,1,1,0,12
7,1,1,0,12
8,1,1,0,12
9,1,1,0,12
10,1,1,0,12
1,1,1,0,13
2,1,1,0,13
3,1,1,0,13
4,1,1,0,13
5,1,1,0,13
6,1,1,0,13
7,1,1,0,13
8,1,1,0,13
9,1,1,0,13
10,2,1,0,13
1,1,1,0,14
2,1,1,0,14
3,1,1,0,14
4,1,1,0,14
5,1,1,0,14
6,1,1,0,14
7,1,1,0,14
8,1,1,0,14
9,1,1,0,14
10,6,1,0,14
1,1,1,0,15.1
2,1,1,0,15.1
3,1,1,0,15.1
4,1,1,0,15.1
5,1,1,0,15.1
6,1,1,0,15.1
7,1,1,0,15.1
8,1,1,0,15.1
9,1,1,0,15.1
10,1,1,0,15.1
1,1,1,0,16
2,1,1,0,16
3,1,1,0,16
4,1,1,0,16
5,1,1,0,16
6,1,1,0,16
7,1,1,0,16
8,1,1,0,16
9,1,1,0,16
10,1,1,0,16
1,1,1,0,17
2,1,1,0,17
3,1,1,0,17
4,1,1,0,17
5,1,1,0,17
6,1,1,0,17
