preyID,Eaten_day,outcome,Rx,sal
1,1,1,0,1
2,1,1,0,1
3,1,1,0,1
4,1,1,0,1
5,4,1,0,1
6,6,1,0,1
7,8,0,0,1
8,8,0,0,1
9,8,0,0,1
10,8,0,0,1
1,1,1,0,21
2,1,1,0,21
3,1,1,0,21
4,4,1,0,21
5,8,0,0,21
6,8,0,0,21
7,8,0,0,21
8,8,0,0,21
9,8,0,0,21
10,8,0,0,21
1,1,1,0,22
2,1,1,0,22
3,2,1,0,22
4,2,1,0,22
5,2,1,0,22
6,2,1,0,22
7,4,1,0,22
8,4,1,0,22
9,8,0,0,22
10,8,0,0,22
1,1,1,0,29
2,1,1,0,29
3,3,1,0,29
4,7,1,0,29
5,8,0,0,29
6,8,0,0,29
7,8,0,0,29
8,8,0,0,29
9,8,0,0,29
10,8,0,0,29
1,1,1,0,30
2,1,1,0,30
3,1,1,0,30
4,1,1,0,30
5,1,1,0,30
6,1,1,0,30
7,4,1,0,30
8,4,1,0,30
9,8,0,0,30
10,8,0,0,30
1,1,1,0,37
2,1,1,0,37
3,1,1,0,37
4,1,1,0,37
5,1,1,0,37
6,1,1,0,37
7,8,0,0,37
8,8,0,0,37
9,8,0,0,37
10,8,0,0,37
1,1,1,0,38
2,1,1,0,38
3,1,1,0,38
4,1,1,0,38
5,8,0,0,38
6,8,0,0,38
7,8,0,0,38
8,8,0,0,38
9,8,0,0,38
10,8,0,0,38
1,1,1,0,42
2,1,1,0,42
3,1,1,0,42
4,1,1,0,42
5,1,1,0,42
6,3,1,0,42
7,3,1,0,42
8,5,1,0,42
9,6,1,0,42
10,8,0,0,42
1,1,1,10,5
2,1,1,10,5
3,8,0,10,5
4,8,0,10,5
5,8,0,10,5
6,8,0,10,5
7,8,0,10,5
8,8,0,10,5
9,8,0,10,5
10,8,0,10,5
1,1,1,10,9
2,1,1,10,9
3,1,1,10,9
4,4,1,10,9
5,5,1,10,9
6,7,1,10,9
7,8,0,10,9
8,8,0,10,9
9,8,0,10,9
10,8,0,10,9
1,1,1,10,12
2,2,1,10,12
3,2,1,10,12
4,2,1,10,12
5,2,1,10,12
6,3,1,10,12
7,8,0,10,12
8,8,0,10,12
9,8,0,10,12
10,8,0,10,12
1,1,1,10,15
2,2,1,10,15
3,2,1,10,15
4,2,1,10,15
5,2,1,10,15
6,2,1,10,15
7,2,1,10,15
8,8,0,10,15
9,8,0,10,15
10,8,0,10,15
1,1,1,10,39
2,1,1,10,39
3,3,1,10,39
4,8,0,10,39
5,8,0,10,39
6,8,0,10,39
7,8,0,10,39
8,8,0,10,39
9,8,0,10,39
10,8,0,10,39
1,2,1,10,43
2,4,1,10,43
3,5,1,10,43
4,8,0,10,43
5,8,0,10,43
6,8,0,10,43
7,8,0,10,43
8,8,0,10,43
9,8,0,10,43
10,8,0,10,43
1,1,1,10,44
2,2,1,10,44
3,5,1,10,44
4,6,1,10,44
5,6,1,10,44
6,6,1,10,44
7,7,1,10,44
8,8,0,10,44
9,8,0,10,44
10,8,0,10,44
1,1,1,10,45
2,1,1,10,45
3,1,1,10,45
4,2,1,10,45
5,2,1,10,45
6,2,1,10,45
7,4,1,10,45
8,8,0,10,45
9,8,0,10,45
10,8,0,10,45
1,1,1,15,10
2,1,1,15,10
3,1,1,15,10
4,1,1,15,10
5,2,1,15,10
6,2,1,15,10
7,4,1,15,10
8,8,0,15,10
9,8,0,15,10
10,8,0,15,10
1,1,1,15,17
2,1,1,15,17
3,1,1,15,17
4,2,1,15,17
5,3,1,15,17
6,3,1,15,17
7,6,1,15,17
8,8,0,15,17
9,8,0,15,17
10,8,0,15,17
1,1,1,15,19
2,3,1,15,19
3,5,1,15,19
4,6,1,15,19
5,8,0,15,19
6,8,0,15,19
7,8,0,15,19
8,8,0,15,19
9,8,0,15,19
10,8,0,15,19
1,1,1,15,20
2,1,1,15,20
3,2,1,15,20
4,8,0,15,20
5,8,0,15,20
6,8,0,15,20
7,8,0,15,20
8,8,0,15,20
9,8,0,15,20
10,8,0,15,20
1,1,1,15,23
2,1,1,15,23
3,1,1,15,23
4,1,1,15,23
5,1,1,15,23
6,8,0,15,23
7,8,0,15,23
8,8,0,15,23
9,8,0,15,23
10,8,0,15,23
1,1,1,15,31
2,1,1,15,31
3,1,1,15,31
4,8,0,15,31
5,8,0,15,31
6,8,0,15,31
7,8,0,15,31
8,8,0,15,31
9,8,0,15,31
10,8,0,15,31
1,1,1,15,32
2,1,1,15,32
3,2,1,15,32
4,2,1,15,32
5,2,1,15,32
6,5,1,15,32
7,6,1,15,32
8,8,1,15,32
9,8,0,15,32
10,8,0,15,32
1,1,1,15,36
2,1,1,15,36
3,3,1,15,36
4,3,1,15,36
5,6,1,15,36
6,8,0,15,36
7,8,0,15,36
8,8,0,15,36
9,8,0,15,36
10,8,0,15,36
