preyID,Eaten_day,outcome,Rx,sal
1,2,1,2x,19
2,2,1,2x,19
3,2,1,2x,19
4,2,1,2x,19
5,2,1,2x,19
6,2,1,2x,19
7,6,1,2x,19
8,6,1,2x,19
9,6,1,2x,19
10,6,1,2x,19
1,2,1,CPLX,23
2,2,1,CPLX,23
3,2,1,CPLX,23
4,2,1,CPLX,23
5,2,1,CPLX,23
6,2,1,CPLX,23
7,2,1,CPLX,23
8,2,1,CPLX,23
9,6,1,CPLX,23
10,7,1,CPLX,23
1,2,1,2x,28
2,2,1,2x,28
3,2,1,2x,28
4,5,1,2x,28
5,5,1,2x,28
6,10,1,2x,28
7,10,1,2x,28
8,10,1,2x,28
9,10,1,2x,28
10,10,1,2x,28
1,1,1,CPLX,47
2,1,1,CPLX,47
3,1,1,CPLX,47
4,2,1,CPLX,47
5,2,1,CPLX,47
6,2,1,CPLX,47
7,2,1,CPLX,47
8,3,1,CPLX,47
9,3,1,CPLX,47
10,5,1,CPLX,47
